2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::Disconnect@317] inter Disconnect HPR_AtomicAdd is 0,this[0000016940E129B0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::Disconnect@334] inter Disconnect ,this[0000016940E129B0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::UnegisterEvent@528] call unregister event. socket excpetion event id[-1],Reconnect Event id[-1],--client[0000016940E129B0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::UnregisterHeartBeatTimer@556] call unregister heartbeat timer. timerid[-1],client[0000016940E129B0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::~CMQCommBaseClient@182] call ~CMQCommBaseClient,this[0000016940E129B0]---end

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::Disconnect@317] inter Disconnect HPR_AtomicAdd is 0,this[0000016940E12BD0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::Disconnect@334] inter Disconnect ,this[0000016940E12BD0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::UnegisterEvent@528] call unregister event. socket excpetion event id[4],Reconnect Event id[5],--client[0000016940E12BD0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::UnregisterHeartBeatTimer@556] call unregister heartbeat timer. timerid[-1],client[0000016940E12BD0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommSubject::~CMQCommSubject@19] call ~CMQCommSubject,this[0000016940E12BD0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::Disconnect@317] inter Disconnect HPR_AtomicAdd is 0,this[0000016940E12BD0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::Disconnect@334] inter Disconnect ,this[0000016940E12BD0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::UnegisterEvent@528] call unregister event. socket excpetion event id[-1],Reconnect Event id[-1],--client[0000016940E12BD0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::UnregisterHeartBeatTimer@556] call unregister heartbeat timer. timerid[-1],client[0000016940E12BD0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommSubject::~CMQCommSubject@22] call ~CMQCommSubject,this[0000016940E12BD0]---end

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::~CMQCommBaseClient@154] call ~CMQCommBaseClient,this[0000016940E12BD0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::~CMQCommBaseClient@156] call ~CMQCommBaseClient,this[0000016940E12BD0]xxxx

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::Disconnect@317] inter Disconnect HPR_AtomicAdd is 0,this[0000016940E12BD0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::Disconnect@334] inter Disconnect ,this[0000016940E12BD0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::UnegisterEvent@528] call unregister event. socket excpetion event id[-1],Reconnect Event id[-1],--client[0000016940E12BD0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::UnregisterHeartBeatTimer@556] call unregister heartbeat timer. timerid[-1],client[0000016940E12BD0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::~CMQCommBaseClient@182] call ~CMQCommBaseClient,this[0000016940E12BD0]---end

2026-01-09 14:15:51.786 INFO  [11552] [CTimerProxy::Unregister@73] Unegister timer event,Handle[0]

2026-01-09 14:15:51.786 INFO  [11552] [CTimerProxy::Unregister@78] erase timer event,Handle[0] succ!!!

2026-01-09 14:15:51.786 INFO  [11552] [CTimerProxy::Unregister@86] Unegister timer event,Handle[0]---end

2026-01-09 14:15:51.786 INFO  [11552] [CCommFactory::DeinitSpdLog@226] ------calll Spdlog_DeInit

2026-01-12 16:03:18.526 INFO  [43544] [CTimerProxy::Regitser@64] Register timer event,Handle[0],pUserData[000001D1CC0FE7D0]

2026-01-12 16:03:18.526 INFO  [43544] [CCommFactory::SetLogPath@83] set log---call register timer,timer id[0],this[000001D1CC0FE7D0],pLogPath[F:\项目\深圳\昂纳\FAU_耦合设备\ONet.FAU.Rx.16_128\ONet.FAU.Rx.16_128\bin\x64\Debug\log\SDK],m_enumDefultLogLevel[2]

2026-01-12 16:03:18.526 INFO  [43544] [CCommFactory::UpdateLogPath@236] current Path[F]

2026-01-12 16:03:18.546 INFO  [43544] [CMemPool::CMemPool@23] index i[0]---size[1024]

2026-01-12 16:03:18.546 INFO  [43544] [CMemPool::CMemPool@23] index i[1]---size[2048]

2026-01-12 16:03:18.546 INFO  [43544] [CMemPool::CMemPool@23] index i[2]---size[10240]

2026-01-12 16:03:18.546 INFO  [43544] [CMemPool::CMemPool@23] index i[3]---size[65536]

2026-01-12 16:03:18.546 INFO  [43544] [CMemPool::CMemPool@23] index i[4]---size[524288]

2026-01-12 16:03:18.546 INFO  [43544] [CMemPool::CMemPool@23] index i[5]---size[1048576]

